Id,Name,Status,Sector,Type,Phase,Specialization,ExamNo,Province,District_Municipality,Local_Municipality,Postal_Code
800022095,Somtshongweni Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800022111,Hambani Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Dr Pixley Ka Isaka Seme Local Municipality,
800022160,Sophungane Combined School,Operational,Public,Ordinary School,Combined School,Mathematics Science,Nan,Mp,Ehlanzeni District Municipality,Nkomazi Local Municipality,
800022186,Soshangane Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,Nan,Mp,Ehlanzeni District Municipality,Nkomazi Local Municipality,
800022194,Sothembani Primary School,Operational,Public,Ordinary School,Intermediate School,Ordinary School,Nan,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800022210,Sovetjheza Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,6333403,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800022228,Sozama Secondary School,Operational,Public,Ordinary School,Secondary School,Mathematics Science,6304703,Mp,Nkangala District Municipality,Steve Tshwete Local Municipality,
800022236,Sozilani Primary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800022269,Springbok Colliery Primary School,Operational,Public,Ordinary School,Combined School,Primary Subjects,6610147,Mp,Nkangala District Municipality,Emalahleni Local Municipality,
800022293,Springvalley Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Emalahleni Local Municipality,
800022319,St Andrews Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Mkhondo Local Municipality,
800022392,Standerton Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Lekwa Local Municipality,
800022418,Stanwest Combined School,Operational,Public,Ordinary School,Combined School,Ordinary School,6191801,Mp,Gert Sibande District Municipality,Lekwa Local Municipality,
800022434,Steelcrest High School,Operational,Public,Ordinary School,Secondary School,Comprehensive,6304901,Mp,Nkangala District Municipality,Steve Tshwete Local Municipality,
800022442,Steynsdorp Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Chief Albert Luthuli Local Municipality,
800022509,Suikerland Secondary School,Operational,Public,Ordinary School,Secondary School,Mathematics Science,Nan,Mp,Ehlanzeni District Municipality,Nkomazi Local Municipality,
800022517,Sukumani Primary School,Operational,Public,Ordinary School,Primary School,Full Service,Nan,Mp,Nkangala District Municipality,Emalahleni Local Municipality,
800022525,Sukumani Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Ehlanzeni District Municipality,Mbombela Local Municipality,
800022558,Sunduza Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Chief Albert Luthuli Local Municipality,
800022574,Makhosokei Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800022616,Swartklip Combined School,Operational,Public,Ordinary School,Combined School,Ordinary School,6304603,Mp,Nkangala District Municipality,Victor Khanye Local Municipality,
800022624,Swelihle Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Msukaligwa Local Municipality,
800022632,Syde Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Chief Albert Luthuli Local Municipality,
800022640,Tp Stratten Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Govan Mbeki Local Municipality,
800022657,Tabane Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800022673,Takheleni Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Ehlanzeni District Municipality,Mbombela Local Municipality,
800022681,Takheni Secondary School,Operational,Public,Ordinary School,Secondary School,Mathematics Science,Nan,Mp,Gert Sibande District Municipality,Chief Albert Luthuli Local Municipality,
800022756,Tegwans Nest Primary School,Operational,Public,Ordinary School,Combined School,Full Service,Nan,Mp,Gert Sibande District Municipality,Dipaleseng Local Municipality,
800022764,Tekwane Primary School,Operational,Public,Ordinary School,Primary School,Full Service,Nan,Mp,Ehlanzeni District Municipality,Mbombela Local Municipality,
