Id,Name,Status,Sector,Type,Phase,Specialization,ExamNo,Province,District_Municipality,Local_Municipality,Postal_Code
200400749,Ngonyama Junior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5070
200400750,Ngonyama Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,212205,Ec,O R Tambo,Nyandeni Local Municipality,5099
200400751,Ngoswana Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5099
200400753,Ngqakayi Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,Amathole,Mbhashe Local Municipality,5070
200400754,Ngqatyana Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,Amathole,Mbhashe Local Municipality,5070
200400755,Ngqayi Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,Joe Gqabi,Elundini Local Municipality,5480
200400756,Ngqeleni Senior Secondary School,Operational,Public,Ordinary School,Secondary School,Arts Drama Music Ballet,4121041,Ec,O R Tambo,Nyandeni Local Municipality,
200400757,Ngqeleni Village Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,212209,Ec,O R Tambo,Nyandeni Local Municipality,
200400758,Ngqiniko Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5080
200400759,Ngqongweni Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,21222,Ec,O R Tambo,Nyandeni Local Municipality,5114
200400760,Ngqubusini Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,211166,Ec,O R Tambo,Mhlontlo Local Municipality,5170
200400761,Ngqunge Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5091
200400762,Ngquqa Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5103
200400763,Ngqutura Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,Chris Hani,Engcobo Local Municipality,
200400764,Ngqwala Senior Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5700
200400765,Ngqwangele Junior Secondary Technical School,Operational,Public,Ordinary School,Combined School,Technical,415281,Ec,Amathole,Mbhashe Local Municipality,5070
200400766,Ngqwangi Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5100
200400767,Ngubechanti Primary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5080
200400768,Ngubengcuka Primary Junior School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,Chris Hani,Engcobo Local Municipality,5024
200400769,Ngubenyati Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,Amathole,Mbhashe Local Municipality,5070
200400770,Nguberhamba Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,Amathole,Mbhashe Local Municipality,5080
200400771,Ngubesizwe Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5099
200400772,Ngubesizwe Senior Secondary School,Operational,Public,Ordinary School,Secondary School,Primary Subjects,4101064,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5100
200400773,Ngubesizwe Senior Secondary School,Operational,Public,Ordinary School,Secondary School,Comprehensive,4131026,Ec,Chris Hani,Engcobo Local Municipality,5050
200400774,Ngubezulu Junior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,Chris Hani,Engcobo Local Municipality,5054
200400775,Ngubezulu Senior Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,4121013,Ec,O R Tambo,Port St Johns Local Municipality,
200400776,Ngwemnyama Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400777,Ngweni Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5102
200400778,Ngwevana Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,Chris Hani,Engcobo Local Municipality,5050
200400779,Ngxakolo Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400780,Ngxanga Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5160
200400781,Ngxaza Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,Joe Gqabi,Elundini Local Municipality,5480
200400782,Ngxebe Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,213121,Ec,Chris Hani,Engcobo Local Municipality,
200400783,Ngxongweni Senior Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,Nan,Ec,O R Tambo,Port St Johns Local Municipality,5122
200400784,Njiveni Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5160
200400785,Njongozabantu Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,Chris Hani,Engcobo Local Municipality,5050
200400786,Njuqwana Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,Amathole,Mbhashe Local Municipality,5070
200400787,Nkahlulo Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,Joe Gqabi,Elundini Local Municipality,
200400788,Nkalane Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5105
200400789,Nkanga Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,212067,Ec,O R Tambo,Nyandeni Local Municipality,5160
200400790,Nkangala Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,Port St Johns Local Municipality,
200400791,Nkanti Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400792,Nkantsini Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5140
200400793,Nkaukazi Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5100
200400794,Nkintshana Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,Amathole,Mbhashe Local Municipality,
200400795,Nkondlo Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,Chris Hani,Engcobo Local Municipality,5054
200400796,Nkonkoni Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,Nyandeni Local Municipality,
200400797,Nkonkweni Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400798,Nkqwiliso Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5160
200400799,Nkunyana Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,Joe Gqabi,Elundini Local Municipality,
200400800,Nkunzimbini Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,212163,Ec,O R Tambo,Nyandeni Local Municipality,5140
200400801,Nkwalini Junior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5070
200400802,Nkwenkwana Primary Junior School,Operational,Public,Ordinary School,Combined School,Arts Drama Music Ballet,Nan,Ec,Chris Hani,Engcobo Local Municipality,5050
200400804,Nkwilini Senior Primary School,Operational,Public,Ordinary School,Primary School,Arts Drama Music Ballet,Nan,Ec,O R Tambo,Port St Johns Local Municipality,5121
200400805,Gobinamba Senior Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,4101071,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5099
200400806,No Moscow Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5105
200400807,No Ofisi Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,Amathole,Mbhashe Local Municipality,5070
200400808,Nobangile Senior Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,4151028,Ec,Amathole,Mbhashe Local Municipality,5070
200400810,Nogaya Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400811,Nogwaza Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,Chris Hani,Engcobo Local Municipality,5050
200400812,Nohlutha Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5099
200400813,Nohokoza Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5114
200400815,Nokulunga Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,Port St Johns Local Municipality,
200400816,Nomadolo Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5140
200400817,Nomandi Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Port St Johns Local Municipality,
200400818,Nomandla Junior Secondary School,Operational,Public,Ordinary School,Combined School,Primary Subjects,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5114
200400819,Nombizo Senior Primary School,Operational,Public,Ordinary School,Primary School,Arts Drama Music Ballet,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5170
200400820,Nomcamba Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5160
200400821,Nomzamo Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400822,Nonesi Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5160
200400823,The Kinkaid Primary School,Operational,Independent,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,
200400824,Nonkqubela Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,Joe Gqabi,Elundini Local Municipality,4770
200400825,Nontatyana Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,Joe Gqabi,Elundini Local Municipality,5480
200400826,Nontswabu Primary Junior School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5100
200400827,Nonyikila Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400828,Chrissem Comprehesive Christion School,Operational,Independent,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,
200400829,Norwood Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5099
200400830,Good Shepherd English School,Operational,Independent,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5099
200400831,Nota S Primary Junior School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,Chris Hani,Engcobo Local Municipality,5050
200400832,Nothintsi Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400833,Notinara Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,
200400834,Notintsila Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5140
200400835,Notsolo Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5160
200400836,Notsweleba Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,211158,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400837,Nowonga Junior Secondary School,Operational,Public,Ordinary School,Combined School,Primary Subjects,415279,Ec,Amathole,Mbhashe Local Municipality,
200400838,Noxolo Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,Chris Hani,Engcobo Local Municipality,5050
200400839,Noxova Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5160
200400840,Nqadu Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5170
200400841,Nqakamatye Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5140
200400842,Nqayiya Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,Amathole,Mbhashe Local Municipality,5070
200400843,Nqeketo Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5140
200400844,Nqencu Primary Junior School,Operational,Public,Ordinary School,Primary School,Ordinary School,210232,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5103
200400845,Nqutyana Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,Port St Johns Local Municipality,5120
200400846,Nqwati Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5099
200400847,Nqwiliso Senior Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,4111013,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400848,Ntaba Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,124234,Ec,Joe Gqabi,Elundini Local Municipality,5480
200400849,Ntabasigogo Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400851,Ntabeni Primary Junior School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,Chris Hani,Engcobo Local Municipality,
200400852,Ntabeni Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5099
200400853,Ntabezulu Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,Amathole,Mbhashe Local Municipality,5070
200400854,Ntaboduli Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,Joe Gqabi,Elundini Local Municipality,5480
200400855,Ntapane Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5140
200400856,Ntekelelo Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5080
200400857,Ntibane Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5170
200400858,Ntibane Junior Secondary School,Operational,Public,Ordinary School,Combined School,Comprehensive,124073,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400859,Ntilini Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5100
200400860,Ntilini Junior Secondary School,Operational,Public,Ordinary School,Combined School,Commercial,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5099
200400861,Ntlalukana Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,Chris Hani,Engcobo Local Municipality,5024
200400862,Ntlambela Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,1265667888,Ec,O R Tambo,Nyandeni Local Municipality,5160
200400864,Ntlaza Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5114
200400865,Ntlelelengwane Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,Chris Hani,Engcobo Local Municipality,5050
200400866,Ntlukuhla Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5100
200400867,Ntseleni Primary Junior School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,Chris Hani,Engcobo Local Municipality,5024
200400868,Ntshabeni Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5100
200400869,Ntshele Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,
200400870,Ntshetu Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5100
200400871,Ntshilini Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,4412169,Ec,O R Tambo,Nyandeni Local Municipality,5140
200400872,Ntshiqo Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,4411156,Ec,O R Tambo,Mhlontlo Local Municipality,5170
200400873,Ntshongweni Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5160
200400874,Ntshozweni Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400875,Ntsimba Primary Junior School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,Chris Hani,Engcobo Local Municipality,5050
200400876,Ntsimbini Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Port St Johns Local Municipality,5120
200400877,Ntsinga Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,Chris Hani,Engcobo Local Municipality,5050
200400878,Ntsingizi Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,Amathole,Mbhashe Local Municipality,5080
200400880,Ntsonyana Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400881,Ntsonyini Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5120
200400882,Ntsundwane Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5160
200400884,Ntywenka Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,124078,Ec,Joe Gqabi,Elundini Local Municipality,5480
200400885,Nxamagele Primary Junior School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,Chris Hani,Engcobo Local Municipality,5050
200400886,Nxanxadi Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400887,Nxaxa Gorge Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,Joe Gqabi,Elundini Local Municipality,5180
200400888,Nxeko Mtikrakra Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,308033,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5099
200400889,Nxele Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,210295,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5102
200400890,Nxotwe Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400891,Nxukwebe Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5160
200400892,Nyandeni Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,
200400893,Nyanga Senior Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,4131016,Ec,Chris Hani,Engcobo Local Municipality,5050
200400894,Nyangilizwe Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,Amathole,Mbhashe Local Municipality,5070
200400895,Nyangilizwe Senior Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,4121016,Ec,O R Tambo,Nyandeni Local Municipality,5100
200400897,Nyanisweni Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400898,Nyibiba Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,Joe Gqabi,Elundini Local Municipality,5470
200400899,Nyikimeni Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,Port St Johns Local Municipality,5121
200400900,Nywara Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400901,Nzwakazi Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5080
200400902,Old Bunting Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5160
200400903,Orange Grove Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,
200400905,Pakamani Senior Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,4131021,Ec,Chris Hani,Engcobo Local Municipality,5050
200400906,Pakamisa Senior Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,Chris Hani,Engcobo Local Municipality,5050
200400907,Pambili Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,Joe Gqabi,Elundini Local Municipality,4870
200400908,Pangalele Senior Secondary School,Operational,Public,Ordinary School,Secondary School,Arts Drama Music Ballet,4121017,Ec,O R Tambo,Nyandeni Local Municipality,5140
200400909,Pangindlela Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5080
200400910,Patisanani Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5170
200400911,Pato Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,210156,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,5080
200400912,Pazima Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,
200400913,Pelandaba Junior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5090
200400914,Pewula Senior Primary School,Pending,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,Amathole,Mbhashe Local Municipality,5070
200400915,Pakamisa Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,
200400916,Pingilili Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,King Sabata Dalindyebo Local Municipality,
200400917,Pokoloshe Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,Amathole,Mbhashe Local Municipality,5070
200400918,Pondolwendlovu Comm Secondary S School,Operational,Public,Ordinary School,Secondary School,Commercial,4121018,Ec,O R Tambo,Nyandeni Local Municipality,5140
200400919,Pondolwendlovu Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5160
200400920,Pondomiseni Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5160
200400921,Pongoma Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,Amathole,Mbhashe Local Municipality,
200400922,Poni Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5140
200400923,Port St Johns Community Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,Port St Johns Local Municipality,5120
200400924,Port St Johns Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Port St Johns Local Municipality,5120
200400925,Winterberg Community School,Operational,Independent,Ordinary School,Primary School,Nan,Nan,Ec,Chris Hani,Enoch Mgijima Local Municipality,5320
200400926,Port St Johns Senior Secondary School,Operational,Public,Ordinary School,Secondary School,Commercial,4121019,Ec,O R Tambo,Port St Johns Local Municipality,5120
200400927,Poswayo Primary Junior School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,Chris Hani,Engcobo Local Municipality,5050
200400929,Pumlani Junior Secondary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,Amathole,Mbhashe Local Municipality,5050
200400930,Putuma Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,Amathole,Mbhashe Local Municipality,5080
200400931,Qaka Junior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,Port St Johns Local Municipality,5120
200400932,Qamata Junior Primary School,Pending,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,Amathole,Mbhashe Local Municipality,5070
200400933,Jenca Senior Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5170
200400934,Qamba Senior Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Ec,O R Tambo,Port St Johns Local Municipality,5120
200400935,Christ The King College,Operational,Independent,Ordinary School,Secondary School,Nan,Nan,Ec,Chris Hani,Enoch Mgijima Local Municipality,5320
200400936,Qanda Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,212159,Ec,O R Tambo,Nyandeni Local Municipality,5099
200400937,Qanqiso Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,O R Tambo,Nyandeni Local Municipality,5160
200400938,Qanqu Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,Nan,Ec,O R Tambo,Mhlontlo Local Municipality,5180
200400939,Qatywa Primary Junior School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Ec,Amathole,Mbhashe Local Municipality,
200400940,Qebe Junior Secondary School,Operational,Public,Ordinary School,Combined School,Ordinary School,4131024,Ec,Chris Hani,Engcobo Local Municipality,5460
200400941,Qebeyi Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,20215,Ec,O R Tambo,Mhlontlo Local Municipality,5170
